distance_metric,k,split,class,precision,recall,f1,support
euclidean,10,test,100610443,0.8928571428571429,0.8426966292134831,0.8670520231213873,89
euclidean,10,test,100610883,0.6071428571428571,0.7846153846153846,0.6845637583892618,65
euclidean,10,test,300000007,0.9101123595505618,0.7043478260869566,0.7941176470588236,115
euclidean,10,test,300000018,0.8653846153846154,0.6081081081081081,0.7142857142857144,74
euclidean,10,test,300000034,0.7058823529411765,0.9142857142857143,0.7966804979253113,210
euclidean,10,test,300000080,0.7512953367875648,0.7323232323232324,0.741687979539642,198
euclidean,10,test,300000082,0.8351648351648352,0.7755102040816326,0.8042328042328042,98
euclidean,10,test,700018215,0.8333333333333334,0.390625,0.5319148936170213,64
euclidean,11,train,100180860,1.0,1.0,1.0,603
euclidean,11,train,100192430,1.0,1.0,1.0,1224
euclidean,11,train,100610443,1.0,1.0,1.0,801
euclidean,11,train,100610883,1.0,1.0,1.0,585
euclidean,11,train,300000007,1.0,1.0,1.0,1035
euclidean,11,train,300000018,1.0,1.0,1.0,666
euclidean,11,train,300000034,1.0,1.0,1.0,1890
euclidean,11,train,300000080,1.0,1.0,1.0,1782
euclidean,11,train,300000082,1.0,1.0,1.0,882
euclidean,11,train,700018215,1.0,1.0,1.0,576
euclidean,11,test,100180860,0.7884615384615384,0.6119402985074627,0.6890756302521007,67
euclidean,11,test,100192430,0.6900584795321637,0.8676470588235294,0.7687296416938111,136
euclidean,11,test,100610443,0.8488372093023255,0.8202247191011236,0.8342857142857142,89
euclidean,11,test,100610883,0.6172839506172839,0.7692307692307693,0.684931506849315,65
euclidean,11,test,300000007,0.9,0.7043478260869566,0.7902439024390244,115
euclidean,11,test,300000018,0.8571428571428571,0.5675675675675675,0.6829268292682926,74
euclidean,11,test,300000034,0.7100371747211895,0.9095238095238095,0.7974947807933194,210
euclidean,11,test,300000080,0.7461928934010152,0.7424242424242424,0.7443037974683543,198
euclidean,11,test,300000082,0.8152173913043478,0.7653061224489796,0.7894736842105263,98
euclidean,11,test,700018215,0.8275862068965517,0.375,0.5161290322580646,64
euclidean,12,train,100180860,1.0,1.0,1.0,603
euclidean,12,train,100192430,1.0,1.0,1.0,1224
euclidean,12,train,100610443,1.0,1.0,1.0,801
euclidean,12,train,100610883,1.0,1.0,1.0,585
euclidean,12,train,300000007,1.0,1.0,1.0,1035
euclidean,12,train,300000018,1.0,1.0,1.0,666
euclidean,12,train,300000034,1.0,1.0,1.0,1890
euclidean,12,train,300000080,1.0,1.0,1.0,1782
euclidean,12,train,300000082,1.0,1.0,1.0,882
euclidean,12,train,700018215,1.0,1.0,1.0,576
euclidean,12,test,100180860,0.7777777777777778,0.6268656716417911,0.694214876033058,67
euclidean,12,test,100192430,0.7090909090909091,0.8602941176470589,0.7774086378737542,136
euclidean,12,test,100610443,0.8352941176470589,0.797752808988764,0.8160919540229884,89
euclidean,12,test,100610883,0.625,0.7692307692307693,0.6896551724137931,65
euclidean,12,test,300000007,0.8888888888888888,0.6956521739130435,0.7804878048780488,115
euclidean,12,test,300000018,0.8571428571428571,0.5675675675675675,0.6829268292682926,74
euclidean,12,test,300000034,0.6996336996336996,0.9095238095238095,0.7908902691511387,210
euclidean,12,test,300000080,0.7474747474747475,0.7474747474747475,0.7474747474747475,198
euclidean,12,test,300000082,0.8085106382978723,0.7755102040816326,0.7916666666666665,98
euclidean,12,test,700018215,0.8928571428571429,0.390625,0.5434782608695653,64
euclidean,13,train,100180860,1.0,1.0,1.0,603
euclidean,13,train,100192430,1.0,1.0,1.0,1224
euclidean,13,train,100610443,1.0,1.0,1.0,801
