distance_metric,k,split,class,precision,recall,f1,support
euclidean,10,test,100610443,0.8723404255319149,0.9213483146067416,0.8961748633879781,89
euclidean,10,test,100610883,0.7959183673469388,0.6,0.6842105263157895,65
euclidean,10,test,300000007,0.8103448275862069,0.8173913043478261,0.8138528138528138,115
euclidean,10,test,300000018,0.8,0.7027027027027027,0.7482014388489208,74
euclidean,10,test,300000034,0.8135593220338984,0.9142857142857143,0.860986547085202,210
euclidean,10,test,300000080,0.75,0.8181818181818182,0.7826086956521738,198
euclidean,10,test,300000082,0.7685185185185185,0.8469387755102041,0.8058252427184466,98
euclidean,10,test,700018215,0.7446808510638298,0.546875,0.6306306306306305,64
euclidean,11,train,100180860,1.0,1.0,1.0,603
euclidean,11,train,100192430,1.0,1.0,1.0,1224
euclidean,11,train,100610443,1.0,1.0,1.0,801
euclidean,11,train,100610883,1.0,1.0,1.0,585
euclidean,11,train,300000007,1.0,1.0,1.0,1035
euclidean,11,train,300000018,1.0,1.0,1.0,666
euclidean,11,train,300000034,1.0,1.0,1.0,1890
euclidean,11,train,300000080,1.0,1.0,1.0,1782
euclidean,11,train,300000082,1.0,1.0,1.0,882
euclidean,11,train,700018215,1.0,1.0,1.0,576
euclidean,11,test,100180860,0.7288135593220338,0.6417910447761194,0.6825396825396826,67
euclidean,11,test,100192430,0.8449612403100775,0.8014705882352942,0.8226415094339623,136
euclidean,11,test,100610443,0.8556701030927835,0.9325842696629213,0.8924731182795699,89
euclidean,11,test,100610883,0.7916666666666666,0.5846153846153846,0.672566371681416,65
euclidean,11,test,300000007,0.8,0.8,0.8000000000000002,115
euclidean,11,test,300000018,0.7727272727272727,0.6891891891891891,0.7285714285714284,74
euclidean,11,test,300000034,0.7975206611570248,0.919047619047619,0.8539823008849557,210
euclidean,11,test,300000080,0.7536231884057971,0.7878787878787878,0.7703703703703704,198
euclidean,11,test,300000082,0.7433628318584071,0.8571428571428571,0.7962085308056872,98
euclidean,11,test,700018215,0.825,0.515625,0.6346153846153846,64
euclidean,12,train,100180860,1.0,1.0,1.0,603
euclidean,12,train,100192430,1.0,1.0,1.0,1224
euclidean,12,train,100610443,1.0,1.0,1.0,801
euclidean,12,train,100610883,1.0,1.0,1.0,585
